channelName,channelId,channelPicture,male,female,family,baby,diy,audio
Ya - Alisa,UCVbPnm-qCjH-8Yl1-k4BQkA,https://yt3.ggpht.com/ytc/AKedOLQiK5-oRR9JOQbTLkVdhP5bGoJH_XLVQmVLmO2n,,1,,,,
Луномосик,UCdKEBeInDzinQ6MG2HkF7Gw,https://yt3.ggpht.com/ytc/AKedOLRThtbm3TmOTGL88owBEOnkFXj-DM75HjNvnWGttQ,1,,,,,
ТВ Деткам,UC_J_9-qRfVtKIkq7SxxVbhQ,https://yt3.ggpht.com/ytc/AKedOLTagyi5JqeHJ3g3ScNKDkr1EUwLmSFrSgp9HynJ,,,,1,,
Top Five,UCY9Nban7R4xGwR3sPJzfIqA,https://yt3.ggpht.com/ytc/AKedOLTaYp4bSpXJXnulv5wjRsm4AJH1vL4foHtmxAxIOQ,,,1,,,
Лум Планет,UCy1D4WGprdBxv0FaC6IH-wg,https://yt3.ggpht.com/ytc/AKedOLSOqcjuP4ByT2aVJ8_ymwoPUzA6kdkewV-42idMdw,,,,,1,
Boys and Toys,UCWI7puXzGTPuxsoW2HD3XxQ,https://yt3.ggpht.com/ytc/AKedOLSGDdwwOH-E9D9mMtYG9SHJqchrMfrFw8CmDSmiFA,1,,,,,
Dima Kids TV,UCb1WBEEfA4e6FOLOKAH5j8w,https://yt3.ggpht.com/ytc/AKedOLTXHOK_8ftGMXqegM4qOraiTAvJY5K4R37q-TNv,1,,,,,
Fast Sergey,UC5c2noTCCJn_zJDwkvBs6jA,https://yt3.ggpht.com/2W3h5wjQl5rAasMmCF5yQ303oUaIeIpXqeVUK34NHJSxR0bjaYVnDw1XA6X01BwaZSiaBKMBaQ,1,,,,,
Супер Тіма,UCpecK3rLVveAWd6tmvhH_yA,https://yt3.ggpht.com/ytc/AKedOLS4j5f4LlRvoaeWRgadpBc7SDAMoiaNS0YHGo5DSg,1,,,,,
Senya Toys,UCVx28H0XPG8TvHlKrJ5sjOQ,https://yt3.ggpht.com/p259NzSZBDZHGNzGBVbIJLsEbpccSCBJ6qYL1piAW_6YFK8LBBLXfL85cvv5D4lnSv3s_UR5ST4,1,,,,,
ЕГОРКА STAR,UCq07sFpDHGYKdLAGupBhp2A,https://yt3.ggpht.com/ZwCcEMkxb3dFnavxRketnS7gBEbVPPSpQrwX3XUic6xuDadBStos22rkf3mss_yMnxyergvNTg,1,,,,,
ВотЭтоДа!,UCFBvHe52R9hWVZE48jDsyxQ,https://yt3.ggpht.com/ytc/AKedOLTUm_Zvp3A22-S5vAWKtwnBpDupzjDfgsihf5Miow,1,,,,,
Gledka Life,UCu61Ku2kbF7SAQxamOd6-uA,https://yt3.ggpht.com/ytc/AKedOLQphR-OaIPlVD7p4LxXorAg8D2DV1I12DXt2XCyGg,1,,,,,
РыбаКит,UCNA7GJ3OpJu0FTl4QmkC6tg,https://yt3.ggpht.com/ytc/AKedOLQrNPm5Jt4oD-BORxHxoD7bq7kkSUZB25AhGR_ziQ,,,,,1,
Мульт,UCM3vklq_KgWZDmbfg_0Yg_A,https://yt3.ggpht.com/ytc/AKedOLTQiD2FyMnwLiIMUJ9MSI0m1mdVu2Y98Y5HQnQibA,,,,1,,
GameJulia,UCymHBLxTxCcMeu5RfsjeVHQ,https://yt3.ggpht.com/ytc/AKedOLQRX_YIlpqUPb7OoGMZnG56uKKWID_l0GgLrzAqHw,,,,,1,
Поделки Самоделки,UCRGA8-8wTpRgGXtd95bkBgQ,https://yt3.ggpht.com/ytc/AKedOLQx6pivbjBUlszGN_WTNG0ofFvcyRQkU55Vbx5rAQ,,,,,1,
Kostik Tv,UCMqNJLQMVflpIrhND4J-3Qg,https://yt3.ggpht.com/ytc/AKedOLRyDMlXF1OBhsfhSfI8njcmwK40LqRZ1oyyQzATWg,1,,,,,
Danik Junior,UCQWg3E4rf9PS1ThMpuTiOuw,https://yt3.ggpht.com/iof1Lbj30O4zMWsO0_gUkBmjVDKAe2ARNJvQpSgvBX1PeIeZN2wGHEe0gzf6I561egv2nKVpUg,1,,,,,
Max Show for Kids,UCifNwVEEXhG26Z__VXrrcwQ,https://yt3.ggpht.com/3ushOCNz8Dmvu78iTdEBGa3iHRLhw3A59ZXHZZ3riS45eB37XqMAT6heT30NTvLIJx4dBRaY6Ao,1,,,,,
ПАПА тайм,UC-w6swDdCzCX7-t78ZAIN9w,https://yt3.ggpht.com/ytc/AKedOLQCJtQZkosDXyHhoN65ap0DCbNeVuqHgwKGovPb,1,,,,,
Илья и Картонка,UCbf4HRrVFINZwraUqZA9HyQ,https://yt3.ggpht.com/ytc/AKedOLSh5C9LY4UBr14HXVAajdjuThOY8NVl1FHDMOepJg=s176-c-k-c0x00ffffff-no-rj,1,,,,,
★ Kids Roma Show,UCx790OVgpTC1UVBQIqu3gnQ,https://yt3.ggpht.com/ytc/AKedOLTCafHueXifiXcZ82WJBppaQdhi7eu23DjMmLc-KA,1,,,,,
KiKiDo,UCWGK2_WVaXWv-QrkgT9-KDw,https://yt3.ggpht.com/ytc/AKedOLQ0Cgjl-tqLVqbDF8UsMYgND1uFHDmnIxsy8Kj-,1,,,,,
Mister Max,UC_8PAD0Qmi6_gpe77S1Atgg,https://yt3.ggpht.com/ytc/AKedOLQpkrtYK93I37Iu4QHVAujTsCEUBt3JQwksTgCPCw,1,,,,,
Носики Курносики,UCbk3qpPiPvlHQeUkVkWVHEA,https://yt3.ggpht.com/ytc/AKedOLRcfNHUwLahIdwxxIBc0SF7fIZNxnh186gCnOcp9w,1,,,,,
Отличник LIFE,UC70RGbI4nD_w7JtJSSTg1pA,https://yt3.ggpht.com/ytc/AKedOLTZKNKMM3yKMnW0EPQzpR6CwD0RgeIlitbPH1TDiw,1,,,,,
Поззи,UCuZeiI5pdpgqDojXZujoYgg,https://yt3.ggpht.com/4Qx-KOcLyvgsiInSQwad9XxkAY_Z3Xv3fZW_RBjBfmBCmUffHIl_C_NHLyXsBYhSyoQiJVg0,1,,,,,
Super Senya,UCjx0-lAtcB7pTxT6MaGPs9g,https://yt3.ggpht.com/up_mlpPXjScmW18dzrcH2SMYBNGv-89Wov3iULOvp4HEzrkU-8wBl8rhRcKTsWSVlYdQaBcnkEg,1,,,,,
Трум Трум,UCq1JpGFxcZTbbOAz010U-og,https://yt3.ggpht.com/ytc/AKedOLQBhK7HcOqbkuzjBHJgprrpedZvpQIBgKMk2xqlNA,,1,,,,
